"image_url","lot_id"
"http://s3-w2.parkme.com.s3-us-west-2.amazonaws.com/lot_img/84347/ec13b797e5524359921f7d2b2f866246.jpg","32dc7eec-b21f-11df-ad38-123139143121"
"http://s3-w2.parkme.com.s3-us-west-2.amazonaws.com/lot_img/28448/46478445456c400a9c2e4814ffa64cb5.jpg","2bf33e3a-75b0-11df-9784-e0cb4e8adbbe"
"http://s3-w2.parkme.com.s3-us-west-2.amazonaws.com/lot_img/21973/a72bc142afee44919c35925de56e8409.jpg","bfd61663-7584-11df-9ecc-e0cb4e8adbbe"
"http://s3-w2.parkme.com.s3-us-west-2.amazonaws.com/lot_img/28485/00df3b3edf0947ad97a4c3dcf5001f08.jpg","3ef48f73-75b0-11df-bce9-e0cb4e8adbbe"
"http://s3-w2.parkme.com.s3-us-west-2.amazonaws.com/lot_img/22353/f3c518c6a0f84d5789160045887443f1.jpg","bae79726-7585-11df-8113-e0cb4e8adbbe"
"http://s3-w2.parkme.com.s3-us-west-2.amazonaws.com/lot_img/22557/8c26dc1e8e4e42cdb398a1c49c9c3def.jpg","ee03eac5-7585-11df-b02e-e0cb4e8adbbe"
"http://s3-w2.parkme.com.s3-us-west-2.amazonaws.com/lot_img/22347/fb73590c80ce49479b822b0736251e9d.jpg","b97122c2-7585-11df-8c11-e0cb4e8adbbe"
"http://s3-w2.parkme.com.s3-us-west-2.amazonaws.com/lot_img/115972/feffa6fc997c44e38f1998e4e3345c09.jpg","97549d3a-5c2e-11e2-a27a-22000af906b1"
"http://s3-w2.parkme.com.s3-us-west-2.amazonaws.com/lot_img/31495/6a65400764244260adbf012a5fc37270.jpg","36878f7a-75b4-11df-b0ac-e0cb4e8adbbe"
"http://s3-w2.parkme.com.s3-us-west-2.amazonaws.com/lot_img/2565/11741a113e5e4e3ebca4a1ec60c7431a.jpg","df7f51ae-742d-11df-911f-e0cb4e8adbbe"